step,removed_original_index,n_nodes_before,n_nodes_after,coverage_before,coverage_after,delta_coverage,isolated_before,isolated_after,delta_isolated,gcc_before,gcc_after,delta_gcc,removed_lat,removed_lon
0,-1,241,241,0.979253112033195,0.979253112033195,0.0,5,5,0,0.941908713692946,0.941908713692946,0.0,,
1,0,241,240,0.979253112033195,0.9791666666666666,-8.644536652835377e-05,5,5,0,0.941908713692946,0.9416666666666667,-0.00024204702627939056,37.4686136,127.0341042
2,1,240,239,0.9791666666666666,0.9790794979079498,-8.716875871683794e-05,5,5,0,0.9416666666666667,0.9414225941422594,-0.00024407252440727945,37.56863,126.8783
3,2,239,238,0.9790794979079498,0.9789915966386554,-8.790126929436592e-05,5,5,0,0.9414225941422594,0.9411764705882353,-0.00024612355402409136,35.1946958,126.7890349
4,3,238,237,0.9789915966386554,0.9789029535864979,-8.86430521574999e-05,5,5,0,0.9411764705882353,0.9409282700421941,-0.00024820054604113295,36.6352678,126.6836321
5,4,237,236,0.9789029535864979,0.978813559322034,-8.939426446397114e-05,5,5,0,0.9409282700421941,0.940677966101695,-0.0002503039404991858,35.252219,128.6035624
6,5,236,235,0.978813559322034,0.9787234042553191,-9.015506671483653e-05,5,5,0,0.940677966101695,0.9404255319148936,-0.00025243418680132024,35.5222899,129.2915261
7,6,235,234,0.9787234042553191,0.9786324786324786,-9.092562284052086e-05,5,5,0,0.9404255319148936,0.7051282051282052,-0.23529732678668847,35.6481281,128.3985328
8,7,234,233,0.9786324786324786,0.9785407725321889,-9.170610028974568e-05,5,5,0,0.7051282051282052,0.7081545064377682,0.003026301309563051,35.1910129,128.7224132
9,8,233,232,0.9785407725321889,0.978448275862069,-9.249667011990148e-05,5,5,0,0.7081545064377682,0.7112068965517241,0.0030523901139558607,35.4715924,129.2183474
10,9,232,231,0.978448275862069,0.9783549783549783,-9.329750709063944e-05,5,5,0,0.7112068965517241,0.9393939393939394,0.22818704284221536,35.5810598,129.3575334
