step,added_lat,added_lon,coverage,isolated,gcc_ratio,delta_coverage
0,,,0.8713692946058091,31,,0.0
1,36.2015939982442,128.0007315743344,0.8884297520661157,27,,0.0170604574603066
2,37.60340096342034,129.07751984105803,0.9012345679012346,24,,0.012804815835118832
3,34.86778497597549,126.3124576243498,0.9098360655737705,22,,0.00860149767253593
4,35.71855312002215,128.91482224941768,0.9183673469387755,20,,0.008531281365005028
5,33.448028127698215,126.5611098295587,0.9227642276422764,19,,0.004396880703500861
6,33.507387449453894,126.5318816893832,0.9311740890688259,17,,0.008409861426549536
7,35.39530334997072,126.80488919771899,0.9354838709677419,16,,0.004309781898915954
8,35.04920532952319,128.2608142205554,0.9397590361445783,15,,0.00427516517683646
9,35.058423754197385,128.25272987933525,0.944,14,,0.004240963855421609
10,35.041397806852096,126.50976342109085,0.9482071713147411,13,,0.004207171314741132
11,34.74161479458883,127.65033641200426,0.9523809523809523,12,,0.004173781066211246
12,37.47409330076606,126.95642142061355,0.9525691699604744,12,,0.000188217579522032
13,37.45374352269133,127.04181128977808,0.952755905511811,12,,0.00018673555133663644
14,37.58622820727853,126.88640253842625,0.9529411764705882,12,,0.00018527095877718391
15,37.57130364648695,126.98649617176335,0.953125,12,,0.00018382352941181956
16,33.2928631302404,126.66105237033744,0.953307392996109,12,,0.00018239299610900428
17,33.24628663364371,126.41520764978135,0.9534883720930233,12,,0.00018097909691427994
18,33.542880771289084,126.80843571252875,0.9536679536679536,12,,0.0001795815749303653
19,33.501240493476,126.45691426148181,0.9538461538461539,12,,0.00017820017820024958
20,33.47096200262491,126.48823624781078,0.9540229885057471,12,,0.00017683465959317246
21,33.44966008913343,126.34609331420872,0.9541984732824428,12,,0.00017548477669571128
22,33.49947802057531,126.6480178471918,0.9543726235741445,12,,0.0001741502917017579
23,33.52302814318902,126.56884883124377,0.9545454545454546,12,,0.0001728309713100451
24,37.635861666174996,127.21924352835718,0.9547169811320755,12,,0.00017152658662089593
25,37.52607765720579,126.7963634280222,0.9548872180451128,12,,0.0001702369130373027
26,37.39072956066443,126.77700340200528,0.9550561797752809,12,,0.00016896173016811566
27,37.23975235631668,127.17851893784153,0.9552238805970149,12,,0.00016770082173400702
28,37.273980482134014,127.23216299351768,0.9553903345724907,12,,0.00016645397547576657
29,37.570989476752665,127.19651133454919,0.9555555555555556,12,,0.00016522098306492872
30,37.20382850795612,127.03166689003284,0.955719557195572,12,,0.00016400164001639794
31,36.34303118234597,127.37738451703346,0.9558823529411765,12,,0.00016279574560451593
32,35.72186908078891,129.1942268296864,0.9560439560439561,12,,0.0001616031027795728
33,37.331432406182856,127.10384360185685,0.9562043795620438,12,,0.00016042351808776
34,37.237185671892775,127.10393823705547,0.9563636363636364,12,,0.0001592568015925666
35,36.1296202016454,128.1642660586253,0.9565217391304348,12,,0.00015810276679839586
36,36.132521822957685,128.1679387430302,0.9566787003610109,12,,0.00015696123057606925
37,36.020281039176695,128.4292991936618,0.9568345323741008,12,,0.00015583201308988492
38,36.01609646127947,128.42859164457164,0.956989247311828,12,,0.00015471493772722944
39,36.426953335287784,127.41788166523486,0.9571428571428572,12,,0.0001536098310291889
40,37.459127482353125,127.04332673594945,0.9572953736654805,12,,0.00015251652262326942
