lat,lon
37.4686136,127.0341042
37.56863,126.8783
35.1946958,126.7890349
36.6352678,126.6836321
35.252219,128.6035624
35.5222899,129.2915261
35.6481281,128.3985328
35.1116277,126.7814513
35.5810598,129.3575334
35.4715924,129.2183474
35.1910129,128.7224132
35.1135046,128.8430507
37.0134984,127.1450114
37.078393,127.1294332
35.4636548,129.3341924
37.2344843,127.583679
36.3353824,127.315963
35.3941248,126.8072014
35.5979927,129.1415454
36.0084201,128.2612201
35.2937322,128.3467079
35.1459087,128.9877688
37.52834,126.9153
37.5308953,127.2070791
36.9767432,126.7060832
37.3985573,126.7116293
35.1345333,128.5646385
35.9520171,127.1260899
37.5452327,127.17054
35.1085556,126.8669914
36.7122123,127.533689
36.70725,127.4407
36.9887691,127.945108
35.8352893,128.4932838
37.4295482,129.1832966
34.8309429,127.6861653
36.5024224,127.2628202
35.8698743,127.1074556
37.1757574,127.0863884
36.738731,126.9660427
36.7825015,126.492827
35.4768887,129.3091983
35.1297255,126.8310233
37.0521494,127.0795268
35.5260517,129.3405952
37.4695092,126.4507804
36.9547096,127.0607048
36.4275124,127.4179918
37.1391006,128.0728572
36.2944222,127.4607645
37.8124697,127.7660694
35.1228096,128.7258845
35.4828938,129.3577649
37.0545444,127.6019924
37.2867068,127.0793846
37.0005035,127.2802107
37.0196121,127.481121
35.183698,128.0400494
37.296052,126.7935074
36.7990834,127.7758812
37.1993267,126.8312715
36.6204857,127.387335
35.2260218,128.9136647
37.8221715,127.7604215
37.1378807,126.9248792
35.9428307,127.0083064
36.9454591,126.9138476
37.2933955,127.2219831
36.8384866,126.5838225
37.4695092,126.4507804
38.2176098,128.5633879
36.8480181,126.8574637
36.9416502,127.1944624
36.8553216,127.1808206
36.8172949,127.1120898
35.1910129,128.7224132
37.3356498,127.8583167
36.4073257,127.422195
36.4690852,127.2672061
35.3029088,129.0100666
34.8946468,128.5875152
37.4223413,127.1586809
36.3970891,127.3465152
37.438542,126.6205176
35.2385492,126.8667548
37.4987381,126.6620496
35.2395473,128.7032033
37.5730125,126.8291992
37.5819876,126.8530206
34.89104,128.4717194
35.3288247,129.2015288
35.9427162,128.5410675
35.7384468,126.7239253
36.4182099,128.1930277
36.3597725,127.290511
35.953939,126.7162358
37.0213548,127.4842428
36.4465493,127.8686
37.4386746,126.8942405
36.1546428,128.4160014
37.7099183,128.7176602
37.9171547,128.2878038
36.9694706,127.894625
37.142925,126.8793313
35.6156921,129.3526827
37.6428652,126.7090421
37.2953536,126.9361782
37.6717129,126.8569192
35.8023336,127.0797514
37.5558069,126.7682219
35.1619898,128.5772231
35.200915,126.9335311
37.5767228,126.7988582
36.2681578,127.4786236
34.9479508,127.6773332
36.348021,127.4059337
35.5402509,127.3115824
35.8870961,128.7298433
35.8160345,127.6463683
37.6008082,129.0746468
37.5685988,126.6476777
35.0680379,126.4790045
36.3746493,126.5572031
37.5775823,127.1460796
37.0450508,126.9443794
37.4556438,127.0102746
36.0182199,128.4294771
37.3316459,127.8502765
36.5294523,127.502552
36.8693962,127.4627139
36.9746153,126.7057485
37.4585136,129.1743974
35.222256,128.6427811
36.1309455,128.1621134
37.5643408,126.9756125
37.0184684,127.1319762
37.0056419,127.9299148
35.1121128,126.8403825
35.8413308,129.165555
36.717825,127.3476175
37.5526438,126.6720056
35.1971838,129.205511
36.9689891,127.2772034
37.0009774,127.816298
35.7772646,127.1223844
37.1856012,126.8884557
34.6165978,127.4749368
37.3342037,126.9803959
34.7779866,127.6947367
36.9719802,126.6974613
35.2113633,128.5891978
36.3223492,127.4713967
37.749173,128.8735587
37.2474296,126.8903782
35.5049086,129.3201357
37.4320498,126.6244469
35.1890404,128.722479
36.5535731,128.6445943
36.3348412,126.5933882
33.5253268,126.6774864
35.2231444,129.2122454
37.2340565,127.1054002
36.9731023,126.8392882
36.9238263,127.5633161
35.5943279,126.6159796
35.085036,129.0762114
37.4738297,127.9776742
34.7938291,127.6600021
35.1920434,128.7206668
37.6928319,127.0446508
34.7204558,126.9304411
36.5309439,127.4274852
35.3257249,129.0326881
35.7868402,127.1938981
35.1009673,128.8655313
37.8547755,127.0535689
36.1839868,127.7764955
35.9525818,127.1284377
35.2193959,128.8429195
35.143887,126.816876
37.3677557,126.6380382
35.9874642,129.3624726
35.0789152,128.9533779
35.5378857,129.125702
36.1415151,128.3014388
35.9333433,126.9206434
37.4918848,126.6507139
36.6484342,127.4582594
36.1853004,127.7704953
37.2417999,127.4772277
36.4690321,127.2717623
34.8011548,126.4129181
37.4297363,126.7347855
37.5829941,126.6492748
34.8945303,128.4187096
37.2433335,127.3910699
35.2362344,129.1565486
36.4964396,127.7396046
37.8685429,127.6907763
37.8442751,126.7894576
37.5566154,126.6395868
37.022748,127.8383919
